jail	n. Syn. prison	(监狱,监禁) building for confinement of persons held in lawful custody
jam	v.	(挤进,塞入,夹住,陷入困境,果酱) crush or bruise; get stuck; press tightly together
jar	n. Syn. pitcher; vase	(罐,广口瓶) pitcher; vase; small, cylindrical container for food, normally made of glass or clay
jealous	a. Syn. zealous; solicitous; vigilant	(嫉妒的,妒忌的) resentful or bitter in rivalry; envious
jealousy	n. Syn. envy; covetousness	(妒忌,羡慕) envy; jealous attitude or disposition
jelly	n.	(果冻,胶状物) substance having the consistency of semi-solid foods
jeopardize	v. Syn. endanger; imperil	(置于危险之中) endanger; imperil; put at risk
jerk	v.	(猛然一拉) pull, or move with a sudden movement; move with abrupt, seemingly uncontrolled motions
jettison	v.	(投弃货物) throw overboard; eject from boat, submarine, aircraft, or spaceship
jewel	n. Syn. gemstone; gem	(宝石) gemstone; costly ornament of precious metal or gem
jewelry	n.	(珠宝) adornment made of precious metals, as a bracelet or ring or necklace
jog	v. Syn. run	(慢跑) run or ride at a steady slow trot; give a push or shake to
journal	n. Syn. magazine; periodical	(期刊,杂志) magazine; periodical; log; diary; a ledger in which transactions have been recorded as they occurred
journalism	n.	(新闻业,报章杂志) profession of reporting or photographing or editing news stories for one of the media
journalist	n.	(新闻记者) writer for newspapers and magazines
judgement	n. Syn. decision; appraisal	(判断) decision; appraisal
juice	n. Syn. liquid	((水果)汁,液) liquid; liquid part that can be extracted from plant or animal tissue
juicy	a. Syn. succulent	(多汁液的) full of juice; lucrative; richly interesting
jumble	n. Syn. mix	(使混乱,混杂) assemble without order or sense; confused multitude of things; chaos; mess; mixture
junction	n. Syn. connection; joint; intersection; crossing	(连接,汇合处) connection; joint; intersection; crossing
jungle	n. Syn. jumble	(丛林) land densely overgrown with tropical vegetation; dense, confused mass
junior	a.	(较年幼的,地位较低的,资历较浅的) less advanced in age than another; younger; lower in standing or in rank
jury	n.	(陪审团) committee appointed to judge a case
justice	n.	(正义,公平,公正) quality of being just; practical conformity to human or divine law; equity; uprightness
justifiable	a.	(有理由的,无可非议的) capable of being justified, or shown to be just
justification	n.	(有理,正当,辩护,释罪) good or just reason; condition or fact of being justified
justify	v. Syn. vindicate; defend	(证明是正当的或有理的,辩护) adjust the spaces between words; show to be reasonable; explain, clear away
juvenile	n. Syn. youth; young	(青少年(的)) youth; adolescent; not fully grown or developed
kangaroo	n.	(袋鼠) animal that having large powerful hind legs and a long thick tail
keen	a. Syn. acute; incisive	(敏锐的,敏捷的) acute; incisive; sharp ; express grief verbally
kernel	n. Syn. nut; core	(核心的) central or vital part; most material and central part; grain or seed as of corn
kerosene	n.	(煤油) flammable hydrocarbon oil used as fuel in lamps and heaters
keyboard	n.	(键盘) device consisting of a set of keys on a piano or organ or typewriter or typesetting machine or computer
kidnap	v.	(绑架,绑票,诱拐(儿童)) take by force or fear, and against one's will; seize and detain unlawfully and usually for ransom
kidney	n.	(肾,肾脏,腰子) glandular organ which excretes urea and other waste products from the animal body
kindle	v. Syn. inspire	(点燃,照亮,激起) build or fuel a fire; cause to glow; light up; inspire
kingdom	n. Syn. realm; domain; empire	(王国) rank, quality, state, or attributes of a king; royal authority; sovereign power; rule; dominion; monarchy
kneel	v.	(跪下) bend the knee; fall or rest on the knees
knit	v.	(编织,结合) contract into wrinkles; grow together; form into fabric by intertwining
knob	n.	(旋钮,按钮,小圆块) hard protuberance; hard swelling or rising; bunch; lump
knot	n.	((绳索等的)结,(树)节,木节,群,簇) fastening together of one or more threads, cords, ropes; lump or loop formed in thread; ornamental tie
label	n.	(标签,说明性短语,标示,标明) paper affixed to anything by inscription; slip of ribbon, parchment; writing annexed by way of addition
laborer	n. Syn. worker; toiler	(劳动者) worker; someone who works with their hands
lace	n.	(饰带,花边) delicate decorative fabric woven in an open web of symmetrical patterns; rope; cord that is drawn through eyelets
lag	v. Syn. delay; drag	(落后) delay; drag; the act of slowing down or falling behind
lamb	n.	(小羊,羔羊,受骗上当者) the young of the sheep; simple, unsophisticated person
lame	a.	(跛的,瘸的,站不住脚的(论据等)) moving with pain or difficulty because of injury; disabled so that movement is difficult or impossible
landing	n. Syn. touchdown	(着陆,降落) touchdown; act of coming down to the earth
landscape	n. Syn. scenery	(风景,山水,风景画) scenery; expanse of scenery that can be seen in a single view
lane	n.	(小路,小巷,航线,车道) passageway between fences which is not traveled as a highroad; narrow country road
lap	v.	(舔食) take in food or drink with one's tongue; splash gently
lapse	n.	(失误,(时间等)流逝) gliding, slipping, or gradual falling; unobserved or imperceptible progress; slip or error; failing in duty
largely	ad. Syn. mainly	(大量地,大半地) in a large manner; for the most part; mainly
lark	v.	(云雀,玩笑,嬉耍) any of various small, singing passerine birds of the family Alaudidae; one who wakes early; one who is up with the larks
laser	n.	(激光) optical device that produces an intense monochromatic beam of coherent light
lasting	a. Syn. enduring; durable	(持久的,永恒的,耐力的) continuing or remaining for a long time; enduring; durable
latent	a. Syn. dormant; hidden	(潜在的) present or potential but not evident or active; dormant; hidden
lateral	a. Syn. parallel; side	(侧面的,侧向的) coming from side; situated at or extending to the side
latitude	n.	(范围) freedom from normal restraints; angular distance north or south of the earth's equator
launch	v. Syn. begin; originate; initiate	(发动) begin; originate; initiate; send off; take off
laundry	n. Syn. washing	(洗衣店,要洗的衣服) washing; workplace where clothes are washed and ironed
lawn	n. Syn. landscape; grassland; meadow	(草地,草坪,草场) landscape; grassland, usually tended or mowed; meadow
lay	v. Syn. deposit	(产卵,下蛋) put into a certain place; cause to lie down; spread over a surface
layer	n. Syn. tier; stratum	(层,层次,阶层) tier; a relatively thin sheet like expanse or region lying over or under another
layout	n.	(规划,(书刊等)编排,版面,配线,企划) overall design of a page; plan or design of something that is laid out
